code,code,decimal_point,name,pre_close,sec,sse,volunit
000117,000117,2,380成长,4597.1948242188,index_cn,sh,100
000118,000118,2,380价值,6732.0209960938,index_cn,sh,100
000119,000119,2,380R成长,3510.2795410156,index_cn,sh,100
000120,000120,2,380R价值,5218.9213867188,index_cn,sh,100
000121,000121,2,医药主题,8732.9208984375,index_cn,sh,100
000122,000122,2,农业主题,1078.2043457031,index_cn,sh,100
000123,000123,2,180动态,5483.5600585938,index_cn,sh,100
000125,000125,2,180稳定,8809.6943359375,index_cn,sh,100
000126,000126,2,消费50,6158.1787109375,index_cn,sh,100
000128,000128,2,380基本,5495.0805664062,index_cn,sh,100
000129,000129,2,180波动,11226.169921875,index_cn,sh,100
000130,000130,2,380波动,8033.060546875,index_cn,sh,100
000131,000131,2,上证高新,1286.2612304688,index_cn,sh,100
000132,000132,2,上证100,4876.7387695312,index_cn,sh,100
000133,000133,2,上证150,3687.22265625,index_cn,sh,100
000134,000134,2,上证银行,774.9598999023,index_cn,sh,100
000135,000135,2,180高贝,4805.0854492188,index_cn,sh,100
000136,000136,2,180低贝,8325.37890625,index_cn,sh,100
000137,000137,2,380高贝,3754.310546875,index_cn,sh,100
000138,000138,2,380低贝,4926.3408203125,index_cn,sh,100
000139,000139,2,上证转债,265.2602844238,index_cn,sh,100
000141,000141,2,380动态,3004.8791503906,index_cn,sh,100
000142,000142,2,380稳定,5626.5415039062,index_cn,sh,100
000145,000145,2,优势资源,3067.3315429688,index_cn,sh,100
000146,000146,2,优势制造,4860.0307617188,index_cn,sh,100
000147,000147,2,优势消费,5854.1547851562,index_cn,sh,100
000148,000148,2,消费领先,6750.892578125,index_cn,sh,100
000149,000149,2,180红利,3307.7470703125,index_cn,sh,100
000150,000150,2,380红利,7217.2153320312,index_cn,sh,100
000151,000151,2,上国红利,1154.6197509766,index_cn,sh,100
000152,000152,2,上央红利,1821.5185546875,index_cn,sh,100
000153,000153,2,上民红利,2103.765625,index_cn,sh,100
000155,000155,2,市值百强,2406.33984375,index_cn,sh,100
000158,000158,2,上证环保,1073.9581298828,index_cn,sh,100
000159,000159,2,沪股通,2577.0739746094,index_cn,sh,100
000160,000160,2,沪新丝路,1298.89453125,index_cn,sh,100
000161,000161,2,沪中国造,1381.8959960938,index_cn,sh,100
000162,000162,2,沪互联+,2084.4719238281,index_cn,sh,100
000170,000170,2,50AH优选,4532.1787109375,index_cn,sh,100
000171,000171,2,新兴成指,1029.8537597656,index_cn,sh,100
000300,000300,2,沪深300,3236.5661621094,index_cn,sh,100
000802,000802,2,500沪市,4831.8813476562,index_cn,sh,100
000805,000805,2,A股资源,3503.7980957031,index_cn,sh,100
000806,000806,2,消费服务,6754.6157226562,index_cn,sh,100
000807,000807,2,食品饮料,12066.2314453125,index_cn,sh,100
000808,000808,2,医药生物,8953.419921875,index_cn,sh,100
000814,000814,2,细分医药,8938.70703125,index_cn,sh,100
000816,000816,2,细分地产,5260.953125,index_cn,sh,100
000819,000819,2,有色金属,3483.2390136719,index_cn,sh,100
000821,000821,2,300红利,5053.7797851562,index_cn,sh,100
000823,000823,2,800有色,3450.7165527344,index_cn,sh,100
000827,000827,2,中证环保,1170.0012207031,index_cn,sh,100
000828,000828,2,300高贝,2043.6143798828,index_cn,sh,100
000832,000832,2,中证转债,280.7019042969,index_cn,sh,100
000833,000833,2,中高企债,178.6026000977,index_cn,sh,100
000841,000841,2,800医药,9183.2392578125,index_cn,sh,100
000842,000842,2,800等权,4618.2690429688,index_cn,sh,100
000846,000846,2,ESG 10,1024.2735595703,index_cn,sh,100
000847,000847,2,腾讯济安,1885.19921875,index_cn,sh,100
000849,000849,2,300非银,8036.2001953125,index_cn,sh,100
000850,000850,2,300有色,2767.6293945312,index_cn,sh,100
000851,000851,2,百发100,10309.294921875,index_cn,sh,100
000852,000852,2,中证1000,4958.1645507812,index_cn,sh,100
000853,000853,2,CSSW丝路,1523.7590332031,index_cn,sh,100
000854,000854,2,500原料,3700.0969238281,index_cn,sh,100
000855,000855,2,央视500,1047.5777587891,index_cn,sh,100
